intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
13.8888889,0.0,0.0,0.0
16.6666667,0.015,0.01,0.02
19.4444444,0.035,0.03,0.04
22.2222222,0.06,0.05,0.07
25.0,0.11,0.08,0.14
27.7777778,0.23,0.16,0.3
30.5555556,0.32,0.24,0.4
33.3333333,0.4,0.3,0.5
36.1111111,0.4,0.3,0.5
38.8888889,0.4,0.3,0.5
41.6666667,0.4,0.3,0.5
44.4444444,0.4,0.3,0.5
47.2222222,0.4,0.3,0.5
50.0,0.4,0.3,0.5
52.7777778,0.4,0.3,0.5
55.5555556,0.4,0.3,0.5
69.4444444,0.4,0.3,0.5
83.3333333,0.4,0.3,0.5
